,SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
0,11333,304.0,359.99
1,11334,329.0,339.0
2,11335,304.0,315.0
3,11336,334.0,364.99
4,11337,334.0,364.99
5,11338,156.0,278.0
6,11340,949.0,3500.0
7,11342,349.0,499.0
8,11343,228.0,289.99
9,11344,95.0,115.0
10,11345,626.0,699.99
11,11346,499.97,1099.0
12,11347,158.0,1200.0
13,11348,255.0,325.55
14,11349,239.0,249.0
15,11350,225.0,232.89
16,11351,449.98,475.0
17,11352,320.0,411.0
18,11353,349.95,375.0
19,11354,325.0,390.0
20,11355,390.0,390.0
21,11356,250.0,259.99
22,11357,383.0,385.0
23,11358,499.0,650.0
24,11359,119.0,127.0
25,11360,139.0,140.0
26,11361,79.99,127.0
27,11362,132.0,175.0
28,11363,96.95,129.94
29,11364,120.0,139.0
30,11365,425.0,475.0
31,11366,425.0,475.0
32,11367,350.0,443.0
33,11368,395.0,455.0
34,11369,435.0,450.0
35,11370,509.0,525.0
36,11371,873.0,875.0
37,11372,899.0,1050.0
38,11373,398.0,479.0
39,11374,59.0,65.0
40,11376,295.0,304.0
41,11377,185.0,199.0
42,11378,180.0,215.0
43,11379,119.99,162.0
44,11380,158.0,200.0
45,11381,120.0,125.0
46,11382,210.0,217.0
47,11383,312.0,315.0
48,11384,150.0,218.0
49,11385,540.0,599.0
50,11386,125.0,269.98
51,11388,260.0,297.0
52,11389,316.0,354.0
53,11390,189.0,194.99
54,11391,189.0,194.99
55,11392,199.0,239.0
56,11393,159.0,179.95
57,11394,165.0,169.0
58,11395,285.0,311.0
59,11397,171.0,219.99
60,11399,189.98,190.0
61,11400,215.0,215.0
62,11401,108.95,109.0
63,11402,162.0,175.0
64,11403,209.0,209.0
65,11404,130.0,155.0
66,11405,269.94,275.0
67,11406,225.0,228.0
68,11407,114.98,119.0
69,11408,163.89,245.0
70,11409,219.0,228.0
71,11410,206.0,209.0
72,11411,129.0,129.0
73,11412,135.0,140.0
74,11413,195.0,195.0
75,11414,45.0,69.0
76,11415,234.0,245.0
77,11416,74.95,144.0
78,11417,525.0,525.0
79,11418,585.0,849.0
80,11419,819.0,825.0
81,11420,407.0,425.0
82,11421,300.0,325.0
83,11422,215.0,219.0
84,11423,188.0,221.0
85,11424,177.0,177.0
86,11425,195.0,197.0
87,11426,159.0,219.0
88,11427,375.0,380.0
89,11428,129.94,133.0
90,11429,200.0,210.0
91,11430,239.0,241.0
92,11431,179.0,235.0
93,11432,199.0,245.0
94,11433,278.0,284.0
95,11434,189.0,202.0
96,11435,399.99,506.75
97,11436,621.0,625.0
98,11437,399.98,400.0
99,11438,500.0,1099.0
100,11439,799.0,875.0
101,11440,399.0,895.0
102,11441,695.0,810.0
103,11442,514.99,750.0
104,11444,550.0,750.0
105,11445,550.0,750.0
106,11446,799.0,889.0
107,11448,898.0,1333.33
